id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path,language
1267680,Ah... Slasher,Quentin and Alma want to make a snuff film. Ari and Narc want to be glorified; and Adam just has that right taste for violence... Let the party begin!,2024-02-29,11 minutes,"Thriller, Comedy",Rollink Productions,19,0,0.155,0.0,0,Released,https://image.tmdb.org/t/p/w500/u10cpvhcB3ogtB8QHdy2QA7pfkN.jpg,https://image.tmdb.org/t/p/w500/m23wKu5lfKT3G3OS5qJQkKZefEv.jpg,En
1265690,Interviews from Yardcore Vol. 1,"An impromptu D.I.Y. documentary compiling interviews with all 4 bands that played the first ever Yardcore, an event based in Birkenhead, Merseyside to showcase the underground of local extreme music.",2024-02-29,26 minutes,"Documentary, Music",Raven's Nest 0151,2,0,0.315,0.0,0,Released,https://image.tmdb.org/t/p/w500/AlKZHKHPKZ8VqW4cegNZBYaoIQh.jpg,https://image.tmdb.org/t/p/w500/dHWgDFM6DqYz4OnvDfcwywy45Pg.jpg,En
1263402,Ratu Adil,Lasja finds her husband and father involved in a mafia business conflict. She was determined to protect her family even if she had to pick up her gun again.,2024-02-29,395 minutes,"Crime, Action, Drama","Frontier Pictures, Vidio",0,0,1.762,0.0,0,Released,https://image.tmdb.org/t/p/w500/9XYIbnUTRvPVR3tFxnOp2R2oA1O.jpg,https://image.tmdb.org/t/p/w500/AwbCkWa22kkrAkbEurSHGzIt6Bh.jpg,Id
1256311,The Godfrey Project,"A movie about a boy trying to fall in love, and all that gets in the way.",2024-02-29,28 minutes,"Adventure, Comedy",Ronak Media,5000,0,0.111,0.0,0,Released,https://image.tmdb.org/t/p/w500/dT4sB09hnWA5REGWZsPJjnPlnas.jpg,https://image.tmdb.org/t/p/w500/8kbNt8HUdOG2UnMLeIJv6N7dy25.jpg,En
1254063,Letterboxd,"A mysterious teenager seems to only find pleasure in watching and reviewing movies, however his life takes an existential turn after discovering a film seemingly based on himself.",2024-02-29,7 minutes,Horror,Figure 8 Studios,0,0,0.524,0.0,0,Released,https://image.tmdb.org/t/p/w500/2f9sxrBT764CUIFZ6ztwhMdUZJn.jpg,https://image.tmdb.org/t/p/w500/fOV1Bc7Mlrrs1T3j3e7MxfooRft.jpg,En
1252471,Ellis Dee,"During an acid drought, a young woman finds a good deal on LSD. She shares with her friend Willow making Willow have a bad trip.",2024-02-29,3 minutes,Horror,Motion Picture Collective,0,0,0.56,0.0,0,Released,https://image.tmdb.org/t/p/w500/1UgKXK5PAkwwxSyUddNw9SaUeJT.jpg,https://image.tmdb.org/t/p/w500/sTt9CqTQnOZ8lsTGtInAXTzEaBc.jpg,En
1251794,Großstadtförsterin – Berliner Besonderheiten,"""""""""Young forester Jana Doussière takes up a short-term position at the Grunewald forestry office. Coming from a wild forest in the Vosges, the solitude-loving Jana, who tends to struggle with people, encounters the big city forest and its ""Berlin peculiarities"". In addition to naked men, demonstrating wild boar fans and committed conservationists, the new forest warden is also confronted with sofas in trees, a mysterious city hunter and forest warden Robin, who hasn't exactly been waiting for her. And even her best friend Aylin, who brought her here, doesn't seem to have told her everything about the new job...""""""""",2024-02-29,89 minutes,Drama,"MadeFor Film, RBB, ARD Degeto",0,0,0.851,6.0,1,Released,https://image.tmdb.org/t/p/w500/45GgPo3wW9Dn8bPeE058i0bE5DI.jpg,https://image.tmdb.org/t/p/w500/xxxOaNOuHQhZj2tups7GNKJV99B.jpg,De
1251561,Displaced Souls,"Located in Carcavelos, Quinta Nova de Santo António, or Quinta dos Ingleses, as it is recognized by the population, shelters a small community of people affected by the housing crisis. Natives and immigrants, deprived of a roof over their heads, carry on with their lives in search of better opportunities and a breeze of change.  Guided by residents' voices, this documentary is based on the adaptability of human beings in the face of life's adversities and their constant pursue of happiness.",2024-02-29,10 minutes,Documentary,ETIC,620,0,0.333,10.0,1,Released,https://image.tmdb.org/t/p/w500/qCqSsFwAfk1IWd0gGVjKEOOedFb.jpg,https://image.tmdb.org/t/p/w500/66g8yusG72UTvYMAr9S1gAS6hnH.jpg,Pt
1251477,Civilization Blues,A detective must face his past to solve the crime of the present.,2024-02-29,68 minutes,"Crime, Mystery, Thriller",Universidad del Cine,0,0,0.776,0.0,0,Released,https://image.tmdb.org/t/p/w500/jB2S28TqFD6s1ioYr7nMJqdwjPf.jpg,https://image.tmdb.org/t/p/w500/nJ4mZD9arUZYOIkcYp5SDsd9j3B.jpg,Es
1248871,Take the Steps,"""""""""""Take the Steps” follows four characters at Collingwood Football Club throughout the 2023 Toyota AFL Finals Series. Craig McRae is in his second year of senior coaching.""""""""",2024-02-29,84 minutes,Documentary,"AFL Studios, Collingwood Football Club",0,0,0.588,0.0,0,Released,https://image.tmdb.org/t/p/w500/fY63HzsaXt0hBaCPY2gbUxUOHnW.jpg,https://image.tmdb.org/t/p/w500/h17ILbLSZfKUSwK7CWYqiGXi4CC.jpg,En
